                     ,,,,,,,,,
Marca/Make,Motor/Engine,"Nº Original /
OEM #",N°300-INDY,A/E,D.E,D.I,H,µ,"Cant. por juego / 
QTY per box"
DEUTZ,ASIENTO VALV.DEUTZ BF6M 1015C GAS ADM.,0490 2043,A5668,ESC,44.07,35.5,7,30º,6
DEUTZ,"ASIENTO VALV. DEUTZ ESC,",0422 0789,A5470,ESC,44.08,35.5,7,45º,6
DEUTZ,"ASIENTO VALV. DEUTZ 913 ADM
F6L 913/F1L 812/F2L91",0213 7302,A5030,ADM,45.66,36,10,45º,6
DEUTZ,ASIENTO VALV. DEUTZ 514 ACERO ESC,0335 8922,A5136,ESC,44.18,38.2,11,30º,4
DEUTZ,ASIENTO VALV. DEUTZ 913 GAS,,A5335,ADM,45.66,36,10,25°,6
DEUTZ,ASIENTO VALV. DEUTZ 913 TURBO ADM.,0415 3681,A5196,ADM,45.66,35.5,8.8,30º,6
DEUTZ,ASIENTO VALV. DEUTZ 913 ADM.,0423 1325,A5197,ADM,45.66,38,9.3,45º,0
DEUTZ,ASIENTO VALV. DEUTZ 2114 ESC,20459ED0152-08,A5139,ESC,47.18,41,11.5,"44,3º",4
DEUTZ,"ASIENTO VALV. DEUTZ ADM.
  BF 6M/8M 1015",0422 0795,A5471,ADM,47.57,38.65,6.6,30º,6
DEUTZ,"ASIENTO VALV. ADM. 1013
  BF 4M/6M 1013",0425 2442,A5472,ADM,49.1,39,7.5,30º,6
DEUTZ,"ASIENTO VALV. DEUTZ 413 FW ESC.
 413 FL 413 F413 F W",,A5137,ESC,49.18,37,11.5,45º,4
DEUTZ,"ASIENTO VALV. DEUTZ 413 GNC ESC,",02427941EZ0148-08,A5649,ESC,49.18,37,11.45,45º,4
DEUTZ,ASIENTO VALV. DEUTZ 2114  1114 ADM.,20457ED0152-08,A5140,ADM,53.18,44,11.5,45º,4
DEUTZ,"ASIENTO VALV. DEUTZ 413 FW ADM
 413 FL 413 F413 F W",,A5138,ADM,56.18,47,11.8,45º,4
DEUTZ,ASIENTO VALV. DEUTZ 514 ACERO ADM,0335 8917,A5135,ADM,47.18,41.2,10,30º,6
DEUTZ,ASIENTO VALV. DEUTZ 413 GNC ADM.,02427782EZ0148-08,A5648,ADM,56.18,44.9,10.6,30º,4
DODGE,ASIENTO VALV. DODGE 350  A-E,,A5349,A-E,41.4,33.5,10,45º,6
DODGE,"ASIENTO VALV. DODGE  1500/1800-GNC ESC,",,A5212,ESC,33,26,7,45º,4
DODGE,ASIENTO VALV. DODGE  1500/1800-GNC ADM.,,A5211,ADM,39.5,31.7,7,45º,4
DODGE,"ASIENTO VALV. DODGE ESC,",,A5203,ESC,42.7,31.7,8,30º,6
DODGE,ASIENTO VALV. DODGE 361 - 413 (60-77) ADM.,,A5119,ADM,51.08,44.5,10,45º,6
FIAT,"FIAT 600 / 600D - 600E - 750
",,A9078,ESC,25.2,20,6.5,45°,
FIAT,FIAT IVECO TURBO 190E42,4673864C.61,A9123,ESC,51.09,41,9.95,45°,
FIAT, MOT:  619 N1/691/693T/697/N/180 NC/300PC,4671769,A9127,ADM,61.08,51,8,45°,
FIAT,600D - 600E - 750,,A9132,ADM,27.2,20.8,6.5,45°,
FIAT,"ASIENTO VALV. FIAT PALIO/UNO ESC,
FIRE 1,3  16V ",,A5533,ESC,24.03,19.5,7,45º,4
FIAT,"ASIENTO VALV. FIAT PALIO/UNO ESC,
 FIRE 1.3 16V - 8V",,A9092D,ESC,24.15,18.5,7,45º,4
FIAT,ASIENTO VALV. FIAT 600 750 ESC.,,A5111,ESC,25,19.8,6,45º,4
FIAT,ASIENTO VALV. FIAT 600 750 ADM.,,A5110,ADM,27,21,6,45º,4
FIAT,"ASIENTO VALV. FIAT PALIO/UNO ADM.
 FIRE 1,3  16V",,A5534,ADM,28.03,22.8,6.45,45º,4
FIAT,"ASIENTO VALV. FIAT FIRE 1,3 8V ESC.",,A5642,ESC,28.7,24.3,8.5,45º,4
FIAT,"ASIENTO VALV.FIAT PALIO/SIENA/MAREA 1580 CC  16V ESC,",,A5520,ESC,30.1,24,8,,4
FIAT,"ASIENTO VALV. MOTOR FIRE 1,3 8V",,A9131,ADM,31.6,24.46,8,45º,4
FIAT,ASIENTO VALV. FIAT PALIO/SIENA/MAREA 1580 CC / E-TORQ?,,A5519,ADM,31.7,26.5,8,,4
FIAT,"ASIENTO VALV. FIAT 147/DUNA ESC
 1300 cc DIESEL DUNA",,A5101,ESC,32.09,26,9.5,45º,4
FIAT,"ASIENTO VALV. FIAT EUROPA REGATA 1,4-1,5 ESC,",,A5308,ESC,32.6,24.3,9.5,45º,4
FIAT,"ASIENTO VALV. FIAT TIPO 1,4/1,6 ESC,",,A5151,ESC,32.65,27,9.5,45º,4
FIAT,"ASIENTO VALV. FIAT FIRE 1,3 8V ADM.",,A5641,ADM,32.7,28,8.8,45º,4
FIAT,"ASIENTO VALV. FIAT 1500 ESC,",,A5146,ESC,33,26,7,45º,4
FIAT,"ASIENTO VALV. FIAT 147/DUNA ADM.
1300cc DIESEL DUNA-",,A5102,ADM,34.65,28,9.5,45º,4
FIAT,ASIENTO VALV. IVECO TECTOR 170 ADM.,4897576,A5714,ADM,34.92,28,5.75,30º,6
FIAT,ASIENTO VALV. IVECO TECTOR 170 ESC.,4897106,A5715,ESC,34.92,28,5.75,45º,6
FIAT,"ASIENTO VALV. FIAT DUNA 1,7 DIESEL ESC.",46466192,A5149,ESC,35.1,29.5,9.5,45º,4
FIAT,ASIENTO VALV. FIAT DUCATO DAILY/GRINTO  ESC,A 726485,A5330,ESC,35.3,29.4,8.2,45º,4
