,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,MAHLE,EDIVAL,,,,,
,,,,,,,,,,
Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
CHRYSLER,"Dakota Pick Up, RamVan 1500 3.9l. V6 12v. - 5.9l. Nafta",6-8,IN,VA0100339,1905 A,48.50 x 7.91 x 124.73,M,45°,A,C
, ,,EX,VE0100915,21915 E,41.15 x 7.91 x 124.83,A/CP,45°,A,C
CHRYSLER,"GT 100 (1,8 opcional) Nafta",4,IN,VA0100336,1073 A,42.08 x 7.90 x 109.78,M/CP,44°40',A,C
, ,,IN,"VA0100336 0,076",1073 A1,42.08 x 7.98 x 109.78,M/CP,44°40',A,C
, ,,IN,"VA0100336 0,127",1073 A2,42.08 x 8.03 x 109.78,M/CP,44°40',A,C
, ,,IN,"VA0100336 0,254",1073 A3,42.08 x 8.15 x 109.78,M/CP,44°40',A,C
, ,,IN,"VA0100336 0,381",1073 A4,42.08 x 8.28 x 109.78,M/CP,44°40',A,C
, ,,EX,VE0101244,21073 E,34.08 x 7.86 x 109.80,A/CP,44°40',A,C
, ,,EX,"VE0101244 0,076",21073 E1,34.08 x 7.93 x 109.80,A/CP,44°40',A,C
, ,,EX,"VE0101244 0,127",21073 E2,34.08 x 7.98 x 109.80,A/CP,44°40',A,C
, ,,EX,"VE0101244 0,254",21073 E3,34.08 x 8.11 x 109.80,A/CP,44°40',A,C
, ,,EX,"VE0101244 0,381",21073 E4,34.08 x 8.24 x 109.80,A/CP,44°40',A,C
CHRYSLER,GTX V8 - Motor 273 (64/69) 318 (63/88) Nafta,8,IN,VA0100335,1039 A,45.16 x 9.42 x 126.19,M,44°45',B,C
, ,,IN,"VA0100335 0,076",1039 A1,45.16 x 9.50 x 126.19,M,44°45',B,C
, ,,IN,"VA0100335 0,127",1039 A2,45.16 x 9.55 x 126.19,M,44°45',B,C
, ,,IN,"VA0100335 0,254",1039 A3,45.16 x 9.68 x 126.19,M,44°45',B,C
, ,,IN,"VA0100335 0,381",1039 A4,45.16 x 9.80 x 126.19,M,44°45',B,C
, ,,IN,"VA0100335 0,508",1039 A5,45.16 x 9.94 x 126.19,M,44°45',B,C
, ,,IN,"VA0100335 0,762",1039 A6,45.16 x 10.19 x 126.19,M,44°45',B,C
, ,,EX,VE0100340,21039 E,38.14 x 9.42 x 127.30,A,42°45',D,C
, ,,EX,"VE0100340 0,076",21039 E1,38.14 x 9.50 x 127.30,A,42°45',D,C
, ,,EX,"VE0100340 0,127",21039 E2,38.14 x 9.55 x 127.30,A,42°45',D,C
, ,,EX,"VE0100340 0,254",21039 E3,38.14 x 9.68 x 127.30,A,42°45',D,C
, ,,EX,"VE0100340 0,381",21039 E4,38.14 x 9.81 x 127.30,A,42°45',D,C
, ,,EX,"VE0100340 0,508",21039 E5,38.14 x 9.94 x 127.30,A,42°45',D,C
, ,,EX,"VE0100340 0,762",21039 E6,38.14 x 9.81 x 127.30,A,42°45',D,C
CHRYSLER,Motor 201 (33/41) 3.1/8 Nafta,6,IN,VA0100914,1052 A,37.70 x 8.64 x 123.20,M/SH,45°,B,A
, ,,EX,VE0100913,1052 E,37.70 x 8.64 x 124.60,A/M/CP,45°,B,B
CHRYSLER,Motor 228 - 236 - 241 - 251 (42/56) 3.3/8 - 3.7/16 Nafta,6,IN,VA0101341,1015 A,44.10 x 8.65 x 123.00,M/SH,45°,B,A
, ,,EX,VE0100912,1015 E,39.60 x 8.65 x 124.60,M/CP,45°,B,B
CHRYSLER,Motor 230 (41/60) 3.1/4 Nafta,6,IN,VA0100328,1014 A,39.00 x 8.64 x 122.90,M/SH,44°30',B,A
, ,,EX,VE0100329,1014 E,35.70 x 8.65 x 122.70,A/M/CP,44°30',B,A
CHRYSLER,"Motor 251-265 (42/64), D100, D400 Nafta",6,IN,VA0100914,1052 A,37.70 x 8.64 x 123.20,M/SH,45°,B,A
, ,,EX,VE0100916,22003 E,38.30 x 8.65 x 123.10,A/M,45°,B,C
CHRYSLER,Motor 361 - 413 (60/77) Nafta,8,IN,VA0100909,1040 A,47.90 x 9.44 x 144.20,M,45°,D,C
, ,,IN,"VA0100909 0,127",1040 A2,47.90 x 9.57 x 144.20,M,45°,D,C
, ,,IN,"VA0100909 0,381",1040 A4,47.90 x 9.82 x 144.20,M,45°,D,C
, ,,IN,"VA0100909 0,762",1040 A6,47.90 x 10.20 x 144.20,M,45°,D,C
, ,,EX,VE0100910,21040 E,38.10 x 11.01 x 144.75,A/CP,45°,B,C
, ,,EX,"VE0100910 0,127",21040 E2,38.10 x 11.13 x 144.75,A/CP,45°,B,C
, ,,EX,"VE0100910 0,381",21040 E4,38.10 x 11.38 x 144.75,A/CP,45°,B,C
, ,,EX,"VE0100910 0,762",21040 E6,38.10 x 11.76 x 144.75,A/CP,45°,B,C
CHRYSLER,"Neon SE, LE, LX 2.0l. DOHC - Caravan Motor 2.4l. 16v. Nafta",4,IN,VA0100338,1699 A,34.80 x 5.95 x 111.50,M/CP,45°,A,C
, ,,EX,VE0100342,21699 E,30.50 x 5.92 x 109.70,A/CP,45°,A,C
CHRYSLER,"Neon, Stratus SOHC 2.0l. 16v. Nafta",4,IN,VA0100337,1698 A,33.20 x 5.94 x 114.80,M/CP,45°00',A,C
, ,,EX,VE0100341,21698 E,28.70 x 5.91 x 117.25,A/CP,45°00',A,C
CHRYSLER,"Polara, Coronado, GT, GTX, Valiant I, II, III, IV - Motor 170-198(60/79) 223(78/80) - Nafta / GNC ",6,IN,VA0100330,1038 AGNC,41.30 x 9.45 x 121.30,M,44°45',B,C
, ,,IN,"VA0100330 0,076",1038 AGNC1,41.30 x 9.53 x 121.30,M,44°45',B,C
, ,,IN,"VA0100330 0,127",1038 AGNC2,41.30 x 9.58 x 121.30,M,44°45',B,C
, ,,IN,"VA0100330 0,254",1038 AGNC3,41.30 x 9.70 x 121.30,M,44°45',B,C
, ,,IN,"VA0100330 0,381",1038 AGNC4,41.30 x 9.83 x 121.30,M,44°45',B,C
, ,,IN,"VA0100330 0,508",1038 AGNC5,41.30 x 9.96 x 121.30,M,44°45',B,C
, ,,IN,"VA0100330 0,762",1038 AGNC6,41.30 x 10.21 x 121.30,M,44°45',B,C
, ,,EX,VE0100333,21038 EGNC,34.80 x 9.44 x 122.00,A,42°45',D,C
, ,,EX,"VE0100333 0,076",21038 EGNC1,34.80 x 9.52 x 122.00,A,42°45',D,C
, ,,EX,"VE0100333 0,127 ",21038 EGNC2,34.80 x 9.57 x 122.00,A,42°45',D,C
, ,,EX,"VE0100333 0,254",21038 EGNC3,34.80 x 9.69 x 122.00,A,42°45',D,C
, ,,EX,"VE0100333 0,381",21038 EGNC4,34.80 x 9.82 x 122.00,A,42°45',D,C
, ,,EX,"VE0100333 0,508",21038 EGNC5,34.80 x 9.95 x 122.00,A,42°45',D,C
, ,,EX,"VE0100333 0,762",21038 EGNC6,34.80 x 10.20 x 122.00,A,42°45',D,C
CITROËN,2 CV-14HP (55/65) Nafta,2,IN,VA0660746,1001 A,34.90 x 7.97 x 77.10,M,30°,L,A
, ,,EX,VE0661245,21001 E,31.28 x 7.97 x 76.55,A,45°,L,A
CITROËN,"2 CV-18HP AZAM AZU (66/68), Furgoneta (66/68) Nafta",2,IN,VA0661127,1043 A,39.20 x 7.98 x 91.10,M,30°,L,A
, ,,EX,VE0661128,21043 E,32.20 x 8.46 x 89.10,A/M,45°,L,A
CITROËN,"2 CV-18HP AZAM AZU (68/72), Furgoneta (68/72) Nafta",2,IN,VA0660748,1059 A,39.38 x 7.98 x 90.95,M,30°,C,A
, ,,IN,"VA0660748 0,076",1059 A1,39.38 x 8.05 x 90.95,M,30°,C,A
, ,,IN,"VA0660748 0,127",1059 A2,39.38 x 8.10 x 90.95,M,30°,C,A
, ,,EX,VE0660749,21059 E,32.28 x 8.47 x 88.75,A,45°,C,A
, ,,EX,"VE0660749 0,076",21059 E1,32.28 x 8.55 x 88.75,A,45°,C,A
, ,,EX,"VE0660749 0,127",21059 E2,32.28 x 8.60 x 88.75,A,45°,C,A
CITROËN,"3 CV, Ami 8, Furgoneta, Mehari (69/78) Nafta",2,IN,VA0660750,1060 A,40.38 x 7.99 x 88.55,M,30°,C,A
, ,,IN,"VA0660750 0,076",1060 A1,40.38 x 8.06 x 88.55,M,30°,C,A
, ,,IN,"VA0660750 0,127",1060 A2,40.38 x 8.11 x 88.55,M,30°,C,A
, ,,EX,VE0660751,21060 E,34.18 x 8.47 x 87.05,A,45°,C,A
, ,,EX,"VE0660751 0,076",21060 E1,34.18 x 8.55 x 87.05,A,45°,C,A
, ,,EX,"VE0660751 0,127",21060 E2,34.18 x 8.60 x 87.05,A,45°,C,A
CITROËN,Motor 161A (XUD7) 1800cc. - Motor 162 (XUD9) 1900cc. Diesel ,4,IN,VA0440577,1236 A,38.00 x 7.99 x 112.42,M,30°,A,A
, ,,EX,VE0440586,21206 E,33.00 x 7.98 x 111.85,A/CP,45°,A,A
CITROËN,"Motor DJ5TED Combi,Jumper 2500cc. 12v. Diesel ",4,IN,VA0440576,1230 A,36.95 x 6.99 x 127.85,M/CP/SH,45°,C,C
, ,,EX,VE0440283,21230 E,36.95 x 6.97 x 127.55,A/M/ST/CP,45°,C,A
CITROËN,"Motor DV4 TDCI/HDI 1400cc. C1, C2, C3, Xsara Diesel ",4,IN,VA0441078,1420 A,32.80 x 5.48 x 97.46,M/CP,45°,C,C
, ,,EX,VE0441054,21420 E,30.28 x 5.47 x 97.52,A/M/ST/CP,45°,C,A
CITROËN,"Motor TU3F-J2K 1360cc-Saxo,Xsara Motor TU5JP 1587cc Nafta",4,IN,VA0440575,1228 A,39.30 x 6.97 x 111.50,M/SH,30°,C,C
, ,,EX,VE0440596,21228 E,31.35 x 6.97 x 111.75,A/M/CP,45°,C,C
CITROËN,Motor TU5JP4 1600cc. 16v. Nafta,4,IN,VA0440578,1423 A,31.30 x 5.98 x 103.80,M,45°,A,C
, ,,EX,VE0440598,21423 E,24.50 x 5.96 x 104.40,A/M/ST/CP,45°,A,E
CITROËN,"Motor TU9M 954cc. Audace, Escape, AX10E, Saxo Nafta",4,IN,VA0440572,1224 A,34.70 x 6.97 x 112.77,M,30°,A,C
